"tripduration","starttime","stoptime","start station name","end station name"
686,"2018-03-01 18:08:58.8820","2018-03-01 18:20:25.7120","Broadway & W 41 St","W 18 St & 6 Ave"
679,"2018-03-01 18:11:40.0810","2018-03-01 18:22:59.5790","Broadway & W 41 St","FDR Drive & E 35 St"
499,"2018-03-01 18:13:47.3980","2018-03-01 18:22:07.1450","Broadway & W 41 St","11 Ave & W 41 St"
1873,"2018-03-01 18:13:47.7690","2018-03-01 18:45:01.3400","Broadway & W 41 St","E 51 St & Lexington Ave"
777,"2018-03-01 18:14:02.8010","2018-03-01 18:26:59.8710","Broadway & W 41 St","1 Ave & E 18 St"
908,"2018-03-01 18:19:47.8380","2018-03-01 18:34:56.4920","Broadway & W 41 St","E 58 St & 3 Ave"
1708,"2018-03-01 18:21:53.9030","2018-03-01 18:50:22.8330","Broadway & W 41 St","Queens Plaza North & Crescent St"
1228,"2018-03-01 18:22:03.5640","2018-03-01 18:42:31.5760","Broadway & W 41 St","W 56 St & 10 Ave"
352,"2018-03-01 18:29:46.0050","2018-03-01 18:35:38.2740","Broadway & W 41 St","W 52 St & 6 Ave"
409,"2018-03-01 18:32:12.4360","2018-03-01 18:39:02.1620","Broadway & W 41 St","W 47 St & 10 Ave"
1171,"2018-03-01 18:37:58.3600","2018-03-01 18:57:29.5970","Broadway & W 41 St","University Pl & E 8 St"
1162,"2018-03-01 18:37:59.4480","2018-03-01 18:57:21.4600","Broadway & W 41 St","University Pl & E 8 St"
301,"2018-03-01 18:38:50.5240","2018-03-01 18:43:51.9730","Broadway & W 41 St","Broadway & W 32 St"
171,"2018-03-01 18:43:26.4070","2018-03-01 18:46:17.4260","Broadway & W 41 St","W 33 St & 7 Ave"
313,"2018-03-01 18:57:35.1770","2018-03-01 19:02:48.9170","Broadway & W 41 St","W 24 St & 7 Ave"
196,"2018-03-01 18:57:48.8860","2018-03-01 19:01:05.0100","Broadway & W 41 St","6 Ave & W 33 St"
447,"2018-03-01 19:01:55.7230","2018-03-01 19:09:23.0410","Broadway & W 41 St","W 38 St & 8 Ave"
571,"2018-03-01 19:07:06.8240","2018-03-01 19:16:38.5960","Broadway & W 41 St","W 22 St & 10 Ave"
797,"2018-03-01 19:08:24.0920","2018-03-01 19:21:42.0470","Broadway & W 41 St","W 54 St & 9 Ave"
377,"2018-03-01 19:28:26.9440","2018-03-01 19:34:43.9560","Broadway & W 41 St","W 43 St & 10 Ave"
433,"2018-03-01 19:34:50.5180","2018-03-01 19:42:03.8730","Broadway & W 41 St","W 27 St & 7 Ave"
944,"2018-03-01 19:35:42.9410","2018-03-01 19:51:27.4380","Broadway & W 41 St","E 2 St & Avenue B"
498,"2018-03-01 19:35:49.7050","2018-03-01 19:44:08.4090","Broadway & W 41 St","W 49 St & 8 Ave"
552,"2018-03-01 19:43:41.2550","2018-03-01 19:52:53.6140","Broadway & W 41 St","Lexington Ave & E 24 St"
315,"2018-03-01 19:46:05.1610","2018-03-01 19:51:20.9720","Broadway & W 41 St","W 37 St & 10 Ave"
456,"2018-03-01 20:05:18.0400","2018-03-01 20:12:54.6870","Broadway & W 41 St","W 42 St & Dyer Ave"
